ts,user_id,country_id,site_id
2019-02-01 00:01:24,LC36FC,TL6,N0OTG
2019-02-01 00:10:19,LC39B6,TL6,N0OTG
2019-02-01 00:21:50,LC3500,TL6,N0OTG
2019-02-01 00:22:50,LC374F,TL6,N0OTG
2019-02-01 00:23:44,LCC1C3,TL6,QGO3G
2019-02-01 00:24:21,LC3E1D,HVQ,GVOFK
2019-02-01 00:25:29,LC3561,TL6,3POLC
2019-02-01 00:29:15,LC3A01,TL6,N0OTG
2019-02-01 00:32:43,LC36FC,TL6,N0OTG
2019-02-01 00:35:30,LC3D80,TL6,N0OTG
2019-02-01 00:41:25,LC3B61,TL6,N0OTG
2019-02-01 00:41:50,LCC3C3,QLT,5NPAU
2019-02-01 00:42:13,LC39C8,TL6,QGO3G
2019-02-01 00:47:58,LC3C22,BDV,N0OTG
2019-02-01 00:56:54,LC3DA2,TL6,QGO3G
2019-02-01 00:57:12,LC31E1,TL6,N0OTG
2019-02-01 00:58:58,LC39CA,TL6,QGO3G
2019-02-01 01:07:49,LC35FB,TL6,N0OTG
2019-02-01 01:17:33,LC3EA8,TL6,N0OTG
2019-02-01 01:24:36,LC3212,TL6,N0OTG
2019-02-01 01:33:37,LC376D,TL6,N0OTG
2019-02-01 01:49:55,LC3C72,TL6,N0OTG
2019-02-01 01:53:01,LC3AFE,TL6,QGO3G
2019-02-01 01:55:16,LC3AD6,TL6,QGO3G
2019-02-01 01:55:40,LC39C5,HVQ,GVOFK
2019-02-01 02:01:52,LC3C1C,TL6,N0OTG
2019-02-01 02:02:41,LC3812,HVQ,GVOFK
2019-02-01 02:22:19,LC3DAD,TL6,N0OTG
2019-02-01 02:36:51,LC3DAD,TL6,N0OTG
2019-02-01 02:41:02,LC31D2,HVQ,GVOFK
2019-02-01 02:44:58,LC3C9C,TL6,QGO3G
2019-02-01 02:44:59,LC3C9C,TL6,QGO3G
2019-02-01 02:46:15,LC375A,BDV,5NPAU
2019-02-01 02:48:34,LC63C3,TL6,N0OTG
2019-02-01 02:56:27,LC3040,TL6,N0OTG
2019-02-01 02:56:59,LC3943,TL6,N0OTG
2019-02-01 03:02:30,LC35CC,TL6,N0OTG
2019-02-01 03:13:35,LC3E14,HVQ,GVOFK
2019-02-01 03:15:10,LC37EA,TL6,QGO3G
2019-02-01 03:16:24,LC37EA,TL6,QGO3G
2019-02-01 03:17:24,LC3833,TL6,N0OTG
2019-02-01 03:23:48,LC3943,TL6,QGO3G
2019-02-01 03:24:13,LC3494,TL6,N0OTG
2019-02-01 03:27:33,LCC389,XA7,N0OTG
